iteration,log_likelihood
1,-299561040.469753
2,-299192619.75940526
3,-299183534.70652515
4,-299182264.1567056
5,-299181929.36908
6,-299181792.03291625
7,-299181710.77576345
8,-299181650.0254053
9,-299181599.0787208
10,-299181554.15748423
11,-299181513.6683673
12,-299181476.791434
13,-299181443.017612
14,-299181411.9823156
15,-299181383.3996575
16,-299181357.0330774
17,-299181332.68051374
18,-299181310.1658595
19,-299181289.33358866
20,-299181270.04492944
21,-299181252.1751902
22,-299181235.6116656
23,-299181220.2519274
24,-299181206.0027602
25,-299181192.778919
26,-299181180.50241643
27,-299181169.1016442
28,-299181158.510909
29,-299181148.66976017
30,-299181139.5226052
31,-299181131.0182259
32,-299181123.1094099
33,-299181115.75265086
34,-299181108.90776956
35,-299181102.53766024
36,-299181096.60808194
37,-299181091.0874229
38,-299181085.94636625
39,-299181081.15789074
40,-299181076.696968
41,-299181072.5403414
42,-299181068.66662985
43,-299181065.05594
44,-299181061.6898047
45,-299181058.551218
46,-299181055.6242585
47,-299181052.89432025
48,-299181050.34768367
49,-299181047.97177684
50,-299181045.7548291
